#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
depleted_hea_242_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÑ-242 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lecm_243                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-243
depleted_lecm_243_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-243 ·ú»¯Îï
depleted_lecm_243_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-243 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hecm_243                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-243
depleted_hecm_243_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-243 ·ú»¯Îï
depleted_hecm_243_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-243 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lecm_245                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-245
depleted_lecm_245_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-245 ·ú»¯Îï
depleted_lecm_245_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-245 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hecm_245                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-245
depleted_hecm_245_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-245 ·ú»¯Îï
depleted_hecm_245_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-245 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lecm_247                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-247
depleted_lecm_247_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-247 ·ú»¯Îï
depleted_lecm_247_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-247 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hecm_247                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-247
depleted_hecm_247_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-247 ·ú»¯Îï
depleted_hecm_247_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-247 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_leb_248                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÂ-248
depleted_leb_248_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÂ-248 ·ú»¯Îï
depleted_leb_248_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÂ-248 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_heb_248                                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÂ-248
depleted_heb_248_fluoride                         ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÂ-248 ·ú»¯Îï
depleted_heb_248_fluoride_flibe                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÂ-248 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lecf_249                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-249
depleted_lecf_249_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-249 ·ú»¯Îï
depleted_lecf_249_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-249 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hecf_249                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-249
depleted_hecf_249_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-249 ·ú»¯Îï
depleted_hecf_249_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-249 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_lecf_251                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-251
depleted_lecf_251_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-251 ·ú»¯Îï
depleted_lecf_251_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-251 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
depleted_hecf_251                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-251
depleted_hecf_251_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-251 ·ú»¯Îï
depleted_hecf_251_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-251 ·ú»¯ÎïÈ¼ÁÏ·úï®îëÑÎÈÜÒº
iron_nak                                          ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ìú»ìºÏÎï
iron_nak_hot                                      ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ìú»ìºÏÎï
redstone_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ºìÊ¯»ìºÏÎï
redstone_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ºìÊ¯»ìºÏÎï
quartz                                            ([no block])                                                                     = ÈÛÈÚÊ¯Ó¢
quartz_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ê¯Ó¢»ìºÏÎï
quartz_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ê¯Ó¢»ìºÏÎï
obsidian                                          ([no block])                                                                     = ÈÛÈÚºÚê×Ê¯
obsidian_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ºÚê×Ê¯»ìºÏÎï
obsidian_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ºÚê×Ê¯»ìºÏÎï
nether_brick                                      ([no block])                                                                     = ÈÛÈÚµØÓüÑÒ
nether_brick_nak                                  ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-µØÓüÑÒ»ìºÏÎï
nether_brick_nak_hot                              ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-µØÓüÑÒ»ìºÏÎï
glowstone_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ó«Ê¯»ìºÏÎï
glowstone_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ó«Ê¯»ìºÏÎï
lapis_nak                                         ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Çà½ğÊ¯»ìºÏÎï
lapis_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Çà½ğÊ¯»ìºÏÎï
gold_nak                                          ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-½ğ»ìºÏÎï
gold_nak_hot                                      ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-½ğ»ìºÏÎï
prismarine                                        ([no block])                                                                     = ÈÛÈÚº£¾§Ê¯
prismarine_nak                                    ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-º£¾§Ê¯»ìºÏÎï
prismarine_nak_hot                                ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-º£¾§Ê¯»ìºÏÎï
slime                                             ([no block])                                                                     = ÒºÌ¬Ê·À³Ä·Õ³Òº
slime_nak                                         ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ê·À³Ä·»ìºÏÎï
slime_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ê·À³Ä·»ìºÏÎï
end_stone                                         ([no block])                                                                     = ÈÛÈÚÄ©µØÊ¯
end_stone_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ä©µØÊ¯»ìºÏÎï
end_stone_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ä©µØÊ¯»ìºÏÎï
purpur                                            ([no block])                                                                     = ÈÛÈÚ×Ïçê
purpur_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-×Ïçê»ìºÏÎï
purpur_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-×Ïçê»ìºÏÎï
diamond_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-×êÊ¯»ìºÏÎï
diamond_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-×êÊ¯»ìºÏÎï
emerald                                           ([no block])                                                                     = ÈÛÈÚÂÌ±¦Ê¯
emerald_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÂÌ±¦Ê¯»ìºÏÎï
emerald_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÂÌ±¦Ê¯»ìºÏÎï
copper_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Í­»ìºÏÎï
copper_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Í­»ìºÏÎï
tin_nak                                           ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Îı»ìºÏÎï
tin_nak_hot                                       ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Îı»ìºÏÎï
lead_nak                                          ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ç¦»ìºÏÎï
lead_nak_hot                                      ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ç¦»ìºÏÎï
boron                                             (tconstruct:molten_boron)                                                        = ÈÛÈÚÅğ
boron_nak                                         ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Åğ»ìºÏÎï
boron_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Åğ»ìºÏÎï
lithium_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ï®»ìºÏÎï
lithium_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ï®»ìºÏÎï
magnesium                                         (tconstruct:molten_magnesium)                                                    = ÈÛÈÚÃ¾
magnesium_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ã¾»ìºÏÎï
magnesium_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ã¾»ìºÏÎï
manganese                                         ([no block])                                                                     = ÈÛÈÚÃÌ
manganese_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÃÌ»ìºÏÎï
manganese_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÃÌ»ìºÏÎï
aluminum_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÂÁ»ìºÏÎï
aluminum_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÂÁ»ìºÏÎï
silver_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Òø»ìºÏÎï
silver_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Òø»ìºÏÎï
fluorite                                          ([no block])                                                                     = ÈÛÈÚ·úÊ¯
fluorite_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-·úÊ¯»ìºÏÎï
fluorite_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-·úÊ¯»ìºÏÎï
villiaumite                                       ([no block])                                                                     = ÈÛÈÚ·úÑÎ
villiaumite_nak                                   ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-·úÑÎ»ìºÏÎï
villiaumite_nak_hot                               ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-·úÑÎ»ìºÏÎï
carobbiite                                        ([no block])                                                                     = ÈÛÈÚ·½·ú¼ØÊ¯
carobbiite_nak                                    ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-·½·ú¼ØÊ¯»ìºÏÎï
carobbiite_nak_hot                                ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-·½·ú¼ØÊ¯»ìºÏÎï
arsenic_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Éé»ìºÏÎï
arsenic_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Éé»ìºÏÎï
liquid_nitrogen_nak                               ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-µª»ìºÏÎï
liquid_nitrogen_nak_hot                           ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-µª»ìºÏÎï
liquid_helium_nak                                 ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-º¤»ìºÏÎï
liquid_helium_nak_hot                             ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-º¤»ìºÏÎï
enderium_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ä©Ó°»ìºÏÎï
enderium_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ä©Ó°»ìºÏÎï
cryotheum_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Áİ±ù»ìºÏÎï
cryotheum_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Áİ±ù»ìºÏÎï
molten_reinforced_pink_slime                      ([no block])                                                                     = ÈÛÈÚÇ¿»¯·ÛºìÕ³Òº
etchacid                                          (pneumaticcraft:fluid.etchacid)                                                  = Ê´¿ÌËá
plastic                                           (pneumaticcraft:fluid.plastic)                                                   = ÒºÌ¬ËÜÁÏ
oil                                               (pneumaticcraft:fluid.oil)                                                       = Ô­ÓÍ
lpg                                               (pneumaticcraft:fluid.lpg)                                                       = Òº»¯Ê¯ÓÍÆø£¨LPG£©
fuel                                              (pneumaticcraft:fluid.fuel)                                                      = ÆûÓÍ
kerosene                                          (pneumaticcraft:fluid.kerosene)                                                  = ÃºÓÍ
diesel                                            (pneumaticcraft:fluid.diesel)                                                    = ²ñÓÍ
lubricant                                         (pneumaticcraft:fluid.lubricant)                                                 = Èó»¬ÓÍ
tf-liquidxp                                       (teslathingies:tf-liquidxp_block)                                                = ÒºÌ¬¾­Ñé
tf-molten_tesla                                   (teslathingies:tf-molten_tesla_block)                                            = ÈÛÈÚTesla
tf-sewage                                         (teslathingies:tf-sewage_block)                                                  = ÎÛË®
liquid_clay                                       (pyrotech:fluid.liquid_clay)                                                     = ÒºÌ¬Õ³ÍÁ
wood_tar                                          (pyrotech:fluid.wood_tar)                                                        = Ä¾½¹ÓÍ
coal_tar                                          (pyrotech:fluid.coal_tar)                                                        = Ãº½¹ÓÍ
hydrochloric_acid                                 (qmd:fluid_hydrochloric_acid)                                                    = ÑÎËá
nitric_acid                                       (qmd:fluid_nitric_acid)                                                          = ÏõËá
sodium_chloride_solution                          (qmd:fluid_sodium_chloride_solution)                                             = ÂÈ»¯ÄÆÈÜÒº
sodium_nitrate_solution                           (qmd:fluid_sodium_nitrate_solution)                                              = ÏõËáÄÆÈÜÒº
lead_nitrate_solution                             (qmd:fluid_lead_nitrate_solution)                                                = ÏõËáÇ¦ÈÜÒº
sodium_tungstate_solution                         (qmd:fluid_sodium_tungstate_solution)                                            = ÎÙËáÄÆÈÜÒº
lead_tungstate_solution                           (qmd:fluid_lead_tungstate_solution)                                              = ÎÙËáÇ¦ÈÜÒº
liquid_hydrogen                                   (qmd:fluid_liquid_hydrogen)                                                      = ÒºÇâ
liquid_argon                                      (qmd:fluid_liquid_argon)                                                         = Òºë²
liquid_neon                                       (qmd:fluid_liquid_neon)                                                          = ÒºÄÊ
liquid_oxygen                                     (qmd:fluid_liquid_oxygen)                                                        = ÒºÑõ
hot_mercury                                       (qmd:fluid_hot_mercury)                                                          = ÈÈ¹¯
iodine                                            (qmd:fluid_iodine)                                                               = ÒºÌ¬µâ
argon                                             (qmd:fluid_argon)                                                                = ë²Æø
neon                                              (qmd:fluid_neon)                                                                 = ÄÊ
chlorine                                          (qmd:fluid_chlorine)                                                             = ÂÈÆø
nitric_oxide                                      (qmd:fluid_nitric_oxide)                                                         = Ò»Ñõ»¯µª
nitrogen_dioxide                                  (qmd:fluid_nitrogen_dioxide)                                                     = ¶şÑõ»¯µª
compressed_air                                    (qmd:fluid_compressed_air)                                                       = Ñ¹Ëõ¿ÕÆø
yag                                               (qmd:fluid_yag)                                                                  = ÈÛÈÚîÆÂÁÊ¯ÁñÊ¯
nd_yag                                            (qmd:fluid_nd_yag)                                                               = ÈÛÈÚ²ôîÏîÆÂÁÊ¯ÁñÊ¯
niobium                                           (qmd:fluid_niobium)                                                              = ÈÛÈÚîê
hafnium                                           (qmd:fluid_hafnium)                                                              = ÈÛÈÚîş
calcium                                           (qmd:fluid_calcium)                                                              = ÈÛÈÚ¸Æ
strontium                                         (qmd:fluid_strontium)                                                            = ÈÛÈÚïÈ
yttrium                                           (qmd:fluid_yttrium)                                                              = ÈÛÈÚîÆ
neodymium                                         (qmd:fluid_neodymium)                                                            = ÈÛÈÚîÏ
samarium                                          (qmd:fluid_samarium)                                                             = ÈÛÈÚîÌ
terbium                                           (qmd:fluid_terbium)                                                              = ÈÛÈÚï«
erbium                                            (qmd:fluid_erbium)                                                               = ÈÛÈÚîï
ytterbium                                         (qmd:fluid_ytterbium)                                                            = ÈÛÈÚïî
bismuth                                           (qmd:fluid_bismuth)                                                              = ÈÛÈÚîé
polonium                                          (qmd:fluid_polonium)                                                             = ÈÛÈÚîÇ
radium                                            (qmd:fluid_radium)                                                               = ÈÛÈÚÀØ
antihydrogen                                      (qmd:fluid_antihydrogen)                                                         = ·´Çâ
antideuterium                                     (qmd:fluid_antideuterium)                                                        = ·´ë®
antitritium                                       (qmd:fluid_antitritium)                                                          = ·´ë°
antihelium3                                       (qmd:fluid_antihelium3)                                                          = ·´º¤-3
antihelium                                        (qmd:fluid_antihelium)                                                           = ·´º¤
positronium                                       (qmd:fluid_positronium)                                                          = Õıµç×ÓÅ¼ËØ
muonium                                           (qmd:fluid_muonium)                                                              = ¦Ì ×ÓÅ¼ËØ
tauonium                                          (qmd:fluid_tauonium)                                                             = ¦Ó ×ÓÅ¼ËØ
glueballs                                         (qmd:fluid_glueballs)                                                            = ½ºÇò
boiling_wort                                      ([no block])                                                                     = ÂóÑ¿Ö­
boiling_potato_juice                              ([no block])                                                                     = ÂíÁåÊíÖ­
boiling_wormwood                                  ([no block])                                                                     = ÂÌŞ§Ö­
boiling_beetroot_soup                             ([no block])                                                                     = Ìğ²ËÖ­
dwarven_ale                                       ([no block])                                                                     = Æ¡¾Æ
vodka                                             ([no block])                                                                     = ·üÌØ¼Ó
inner_fire                                        ([no block])                                                                     = ÁÒ¾Æ
umber_ale                                         ([no block])                                                                     = ²èÆ¡
absinthe                                          ([no block])                                                                     = ¿à°¬¾Æ
snowpoff                                          ([no block])                                                                     = Ñ©±À·üÌØ¼Ó
antimony                                          ([no block])                                                                     = ÈÛÈÚÌà
deadblood                                         (srparasites:deadblood)                                                          = fluid.deadblood
crystal_water                                     (thaumadditions:crystal_water)                                                   = ½á¾§Ö®Ë®
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = ÓªÑø¾«»ªÒº
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = ÉîÔ¨Â¶Ë®
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = ÇáÓ¯Ö®Æø
hootch                                            (enderio:block_fluid_hootch)                                                     = ÁÒ¾Æ
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = »ğ¼ıÈ¼ÁÏ
fire_water                                        (enderio:block_fluid_fire_water)                                                 = »ğÑæË®
xpjuice                                           ([no block])                                                                     = ¾­Ñé
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = ÒºÌ¬Ñô¹â
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = ÔÆÖ®¾«»ª
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Å¨ËõÔÆÖ®¾«»ª
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = »ğ¼ıÈ¼ÁÏ
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Å¨ËõÑÒ½¬
flux_goo                                          (thaumcraft:flux_goo)                                                            = Öä²¨ğ¤½¬
liquid_death                                      (thaumcraft:liquid_death)                                                        = ËÀÍöÖ®Ë®
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = ¾»»¯Ö®Ë®
stone                                             (tconstruct:molten_stone)                                                        = ÈÛÈÚ½¹ºÚÊ¯Í·
clay                                              (tconstruct:molten_clay)                                                         = ÈÛÈÚÕ³ÍÁ
dirt                                              (tconstruct:molten_dirt)                                                         = ÒºÌ¬ÄàÍÁ
glass                                             (tconstruct:molten_glass)                                                        = ÈÛÈÚ²£Á§
blueslime                                         (tconstruct:blueslime)                                                           = ÒºÌ¬À¶É«Ê·À³Ä·
purpleslime                                       (tconstruct:purpleslime)                                                         = ÒºÌ¬×ÏÉ«Ê·À³Ä·
lifeessence                                       (bloodmagic:life_essence)                                                        = ÉúÃüÔ´ÖÊ
refined_life_essence                              (bloodarsenal:refined_life_essence)                                              = ¾«Á¶ÉúÃü¾«»ª
fluid_quicksilver                                 (thaumicwonders:fluid_quicksilver)                                               = Ë®Òø
pure_metal                                        ([no block])                                                                     = ´¿½ğÊô
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = ĞÇÄÜÒº
hot_crude                                         ([no block])                                                                     = ÈÈÓÍ
light_oil                                         ([no block])                                                                     = ÇáÓÍ
heavy_oil                                         ([no block])                                                                     = ÖØÓÍ
natural_gas                                       ([no block])                                                                     = ÌìÈ»Æø
naphtha                                           ([no block])                                                                     = Ê¯ÄÔÓÍ
gasoline                                          ([no block])                                                                     = ÆûÓÍ
oil_residue                                       ([no block])                                                                     = ÓÍÔü
wood_gas                                          ([no block])                                                                     = Ä¾ÃºÆø
ec.internal.hydrogen                              ([no block])                                                                     = ÇâÆø
ec.internal.oxygen                                ([no block])                                                                     = ÑõÆø
ec.internal.water                                 ([no block])                                                                     = Ë®ÕôÆø
ec.internal.chlorine                              ([no block])                                                                     = ÂÈ
ec.internal.sulfurdioxide                         ([no block])                                                                     = ¶şÑõ»¯Áò
ec.internal.sulfurtrioxide                        ([no block])                                                                     = ÈıÑõ»¯Áò
ec.internal.sulfuricacid                          ([no block])                                                                     = ÁòËá
ec.internal.hydrogenchloride                      ([no block])                                                                     = ÂÈ»¯Çâ
ec.internal.ethene                                ([no block])                                                                     = ÒÒÏ©
ec.internal.sodium                                ([no block])                                                                     = ÄÆ
ec.internal.brine                                 ([no block])                                                                     = ÆøÌ¬ÑÎË®
ec.internal.deuterium                             ([no block])                                                                     = ë®
ec.internal.tritium                               ([no block])                                                                     = ë°
ec.internal.fusionfuel                            ([no block])                                                                     = ë®ë°È¼ÁÏ
ec.internal.lithium                               ([no block])                                                                     = ï®
ec.internal.liquidosmium                          ([no block])                                                                     = ÒºÌ¬ï°
ec.internal.cleaniron                             ([no block])                                                                     = ´¿¾»Ìú½¬Òº
ec.internal.iron                                  ([no block])                                                                     = Ìú½¬Òº
ec.internal.cleangold                             ([no block])                                                                     = ´¿¾»½ğ½¬Òº
ec.internal.gold                                  ([no block])                                                                     = ½ğ½¬Òº
ec.internal.cleanosmium                           ([no block])                                                                     = ´¿¾»ï°½¬Òº
ec.internal.osmium                                ([no block])                                                                     = ï°½¬Òº
ec.internal.cleancopper                           ([no block])                                                                     = ´¿¾»Í­½¬Òº
ec.internal.copper                                ([no block])                                                                     = Í­½¬Òº
ec.internal.cleantin                              ([no block])                                                                     = ´¿¾»Îı½¬Òº
ec.internal.tin                                   ([no block])                                                                     = Îı½¬Òº
ec.internal.cleansilver                           ([no block])                                                                     = ´¿¾»Òø½¬Òº
ec.internal.silver                                ([no block])                                                                     = Òø½¬Òº
ec.internal.cleanlead                             ([no block])                                                                     = ´¿¾»Ç¦½¬Òº
ec.internal.lead                                  ([no block])                                                                     = Ç¦½¬Òº
